id,village_name,city_name,province_name,latitude,longitude
11,"Ds. Andong","Boyolali","Jawa Tengah",-7.37457310,110.76332470
160,"Ds. Babadan","Boyolali","Jawa Tengah",-7.46563990,110.68695540
110,"Ds. Bade","Boyolali","Jawa Tengah",-7.36244290,110.70107520
50,"Ds. Bakulan","Boyolali","Jawa Tengah",-7.51151190,110.52717330
234,"Ds. Bandung","Boyolali","Jawa Tengah",-7.30210000,110.65410000
84,"Ds. Bangkok","Boyolali","Jawa Tengah",-7.33495000,110.65893170
211,"Ds. Bangsalan","Boyolali","Jawa Tengah",-7.56169470,110.65365310
85,"Ds. Bantengan","Boyolali","Jawa Tengah",-7.38747100,110.64951180
1,"Ds. Banyuanyar","Boyolali","Jawa Tengah",-7.47852620,110.55457900
27,"Ds. Banyudono","Boyolali","Jawa Tengah",-7.53862110,110.69864770
235,"Ds. Banyusri","Boyolali","Jawa Tengah",-7.29543310,110.69469190
111,"Ds. Banyuurip","Boyolali","Jawa Tengah",-7.36057290,110.71744680
28,"Ds. Batan","Boyolali","Jawa Tengah",-7.53339850,110.70468400
100,"Ds. Bawu","Boyolali","Jawa Tengah",-7.30598540,110.73995920
12,"Ds. Beji","Boyolali","Jawa Tengah",-7.37880000,110.74780000
29,"Ds. Bendan","Boyolali","Jawa Tengah",-7.54274260,110.67286670
147,"Ds. Bendo","Boyolali","Jawa Tengah",-7.45926240,110.72377410
176,"Ds. Bendosari","Boyolali","Jawa Tengah",-7.57952370,110.70632930
198,"Ds. Bendungan","Boyolali","Jawa Tengah",-7.44704690,110.69700470
224,"Ds. Bengkle","Boyolali","Jawa Tengah",-7.11632990,110.28930190
225,"Ds. Bercak","Boyolali","Jawa Tengah",-7.24911900,110.69281410
199,"Ds. Blagung","Boyolali","Jawa Tengah",-7.42713770,110.71082510
112,"Ds. Blumbang","Boyolali","Jawa Tengah",-7.36327010,110.68898850
236,"Ds. Bojong","Boyolali","Jawa Tengah",-7.27900000,110.68080000
237,"Ds. Bolo","Boyolali","Jawa Tengah",-7.31460000,110.67950000
123,"Ds. Brajan","Boyolali","Jawa Tengah",-7.52255150,110.64132030
124,"Ds. Butuh","Boyolali","Jawa Tengah",-7.55351860,110.63319590
51,"Ds. Cabeankunti","Boyolali","Jawa Tengah",-7.49962660,110.53954390
161,"Ds. Canden","Boyolali","Jawa Tengah",-7.47644790,110.68701040
2,"Ds. Candi","Boyolali","Jawa Tengah",-7.44145930,110.56143880
52,"Ds. Candigatak","Boyolali","Jawa Tengah",-7.49560850,110.55710160
65,"Ds. Candisari","Boyolali","Jawa Tengah",-7.45728910,110.49580920
30,"Ds. Cangkringan","Boyolali","Jawa Tengah",-7.54160000,110.68670000
162,"Ds. Catur","Boyolali","Jawa Tengah",-7.48463070,110.66281280
53,"Ds. Cepogo","Boyolali","Jawa Tengah",-7.50891680,110.51657670
177,"Ds. Cepokosawit","Boyolali","Jawa Tengah",-7.56795540,110.68953280
74,"Ds. Cerme","Boyolali","Jawa Tengah",-7.16842940,110.73055740
163,"Ds. Cermo","Boyolali","Jawa Tengah",-7.46152300,110.64422780
245,"Ds. Cluntang","Boyolali","Jawa Tengah",-7.54301830,110.50608870
164,"Ds. Demangan","Boyolali","Jawa Tengah",-7.48326120,110.71418520
31,"Ds. Denggungan","Boyolali","Jawa Tengah",-7.52379970,110.71600390
135,"Ds. Dibal","Boyolali","Jawa Tengah",-7.50427260,110.77352030
125,"Ds. Dlingo","Boyolali","Jawa Tengah",-7.50405690,110.64316570
86,"Ds. Dologan","Boyolali","Jawa Tengah",-7.34640000,110.66940000
136,"Ds. Donohudan","Boyolali","Jawa Tengah",-7.52004110,110.78179640
212,"Ds. Doplang","Boyolali","Jawa Tengah",-7.58050000,110.65330000
246,"Ds. Dragan","Boyolali","Jawa Tengah",-7.60562520,110.52719770
66,"Ds. Ds. Kembang","Boyolali","Jawa Tengah",-7.41210000,110.48660000
32,"Ds. Dukuh","Boyolali","Jawa Tengah",-7.55830730,110.68114580
137,"Ds. Gagaksipat","Boyolali","Jawa Tengah",-7.51672380,110.76925050
226,"Ds. Garangan","Boyolali","Jawa Tengah",-7.28504340,110.65100580
54,"Ds. Gedangan","Boyolali","Jawa Tengah",-7.52444480,110.51338970
101,"Ds. Genengsari","Boyolali","Jawa Tengah",-7.29185170,110.75100660
55,"Ds. Genting","Boyolali","Jawa Tengah",-7.50695430,110.49728270
227,"Ds. Gilirejo","Boyolali","Jawa Tengah",-7.29487400,110.61089870
138,"Ds. Giriroto","Boyolali","Jawa Tengah",-7.49184800,110.79745820
67,"Ds. Gladagsari","Boyolali","Jawa Tengah",-7.45800000,110.54330000
165,"Ds. Glintang","Boyolali","Jawa Tengah",-7.50061060,110.67697760
148,"Ds. Glonggong","Boyolali","Jawa Tengah",-7.44279980,110.75065250
178,"Ds. Gombang","Boyolali","Jawa Tengah",-7.58025370,110.67963800
113,"Ds. Gondanglegi","Boyolali","Jawa Tengah",-7.34778390,110.68347420
13,"Ds. Gondangrawe","Boyolali","Jawa Tengah",-7.40230000,110.75830000
3,"Ds. Gondangslamet","Boyolali","Jawa Tengah",-7.43680000,110.56590000
238,"Ds. Gosono","Boyolali","Jawa Tengah",-7.29402140,110.66966600
87,"Ds. Grogolan","Boyolali","Jawa Tengah",-7.37450000,110.66250000
56,"Ds. Gubug","Boyolali","Jawa Tengah",-7.47899830,110.53991680
149,"Ds. Guli","Boyolali","Jawa Tengah",-7.47065420,110.76146280
213,"Ds. Gumukrejo","Boyolali","Jawa Tengah",-7.52042690,110.67568480
200,"Ds. Gunung","Boyolali","Jawa Tengah",-7.41975620,110.65547170
228,"Ds. Gunungsari","Boyolali","Jawa Tengah",-7.25601310,110.65063030
239,"Ds. Guwo","Boyolali","Jawa Tengah",-7.28647650,110.71050130
179,"Ds. Guwokajen","Boyolali","Jawa Tengah",-7.56340520,110.70533230
166,"Ds. Jagoan","Boyolali","Jawa Tengah",-7.47318740,110.70235670
114,"Ds. Jaten","Boyolali","Jawa Tengah",-7.38041280,110.69141840
229,"Ds. Jatilawang","Boyolali","Jawa Tengah",-7.29500540,110.63272250
180,"Ds. Jatirejo","Boyolali","Jawa Tengah",-7.37900600,110.57288980
167,"Ds. Jatisari","Boyolali","Jawa Tengah",-7.49611270,110.68779370
57,"Ds. Jelok","Boyolali","Jawa Tengah",-7.52014180,110.56227480
33,"Ds. Jembungan","Boyolali","Jawa Tengah",-7.55042090,110.68115380
256,"Ds. Jemowo","Boyolali","Jawa Tengah",-7.59079340,110.52061620
181,"Ds. Jenengan","Boyolali","Jawa Tengah",-7.56840000,110.67690000
150,"Ds. Jeron","Boyolali","Jawa Tengah",-7.47751590,110.79780720
188,"Ds. Jeruk","Boyolali","Jawa Tengah",-7.48097410,110.48860070
75,"Ds. Jerukan","Boyolali","Jawa Tengah",-7.19530380,110.76206410
34,"Ds. Jipangan","Boyolali","Jawa Tengah",-7.55102710,110.69030760
68,"Ds. Jlarem","Boyolali","Jawa Tengah",-7.40596530,110.48020270
58,"Ds. Jombong","Boyolali","Jawa Tengah",-7.53351900,110.50675260
189,"Ds. Jrakah","Boyolali","Jawa Tengah",-7.49735560,110.41897590
76,"Ds. Juwangi","Boyolali","Jawa Tengah",-7.18380000,110.75210000
