province_name,city_name,district_name,village_name,notes
"Jawa Tengah",Boyolali,"Kec. Ampel","Ds. Banyuanyar",
"Jawa Tengah",Boyolali,"Kec. Ampel","Ds. Candi",
"Jawa Tengah",Boyolali,"Kec. Ampel","Ds. Gondangslamet",
"Jawa Tengah",Boyolali,"Kec. Ampel","Ds. Ngampon",
"Jawa Tengah",Boyolali,"Kec. Ampel","Ds. Ngargosari",
"Jawa Tengah",Boyolali,"Kec. Ampel","Ds. Ngenden",
"Jawa Tengah",Boyolali,"Kec. Ampel","Ds. Selodoko",
"Jawa Tengah",Boyolali,"Kec. Ampel","Ds. Sidomulyo",
"Jawa Tengah",Boyolali,"Kec. Ampel","Ds. Tanduk",
"Jawa Tengah",Boyolali,"Kec. Ampel","Ds. Urutsewu",
"Jawa Tengah",Boyolali,"Kec. Andong","Ds. Andong",
"Jawa Tengah",Boyolali,"Kec. Andong","Ds. Beji",
"Jawa Tengah",Boyolali,"Kec. Andong","Ds. Gondangrawe",
"Jawa Tengah",Boyolali,"Kec. Andong","Ds. Kacangan",
"Jawa Tengah",Boyolali,"Kec. Andong","Ds. Kadipaten",
"Jawa Tengah",Boyolali,"Kec. Andong","Ds. Kedungdowo",
"Jawa Tengah",Boyolali,"Kec. Andong","Ds. Kunti",
"Jawa Tengah",Boyolali,"Kec. Andong","Ds. Mojo",
"Jawa Tengah",Boyolali,"Kec. Andong","Ds. Munggur",
"Jawa Tengah",Boyolali,"Kec. Andong","Ds. Pakang",
"Jawa Tengah",Boyolali,"Kec. Andong","Ds. Pakel",
"Jawa Tengah",Boyolali,"Kec. Andong","Ds. Pelemrejo",
"Jawa Tengah",Boyolali,"Kec. Andong","Ds. Pranggong",
"Jawa Tengah",Boyolali,"Kec. Andong","Ds. Semawung",
"Jawa Tengah",Boyolali,"Kec. Andong","Ds. Sempu",
"Jawa Tengah",Boyolali,"Kec. Andong","Ds. Senggrong",
"Jawa Tengah",Boyolali,"Kec. Banyudono","Ds. Banyudono",
"Jawa Tengah",Boyolali,"Kec. Banyudono","Ds. Batan",
"Jawa Tengah",Boyolali,"Kec. Banyudono","Ds. Bendan",
"Jawa Tengah",Boyolali,"Kec. Banyudono","Ds. Cangkringan",
"Jawa Tengah",Boyolali,"Kec. Banyudono","Ds. Denggungan",
"Jawa Tengah",Boyolali,"Kec. Banyudono","Ds. Dukuh",
"Jawa Tengah",Boyolali,"Kec. Banyudono","Ds. Dukuh",
"Jawa Tengah",Boyolali,"Kec. Banyudono","Ds. Jembungan",
"Jawa Tengah",Boyolali,"Kec. Banyudono","Ds. Jipangan",
"Jawa Tengah",Boyolali,"Kec. Banyudono","Ds. Ketaon",
"Jawa Tengah",Boyolali,"Kec. Banyudono","Ds. Kuwiran",
"Jawa Tengah",Boyolali,"Kec. Banyudono","Ds. Ngaru Aru",
"Jawa Tengah",Boyolali,"Kec. Banyudono","Ds. Sambon",
"Jawa Tengah",Boyolali,"Kec. Banyudono","Ds. Tanjungsari",
"Jawa Tengah",Boyolali,"Kec. Banyudono","Ds. Trayu",
"Jawa Tengah",Boyolali,"Kec. Boyolali","Ds. Karanggeneng",
"Jawa Tengah",Boyolali,"Kec. Boyolali","Ds. Kebonbimo",
"Jawa Tengah",Boyolali,"Kec. Boyolali","Ds. Kiringan",
"Jawa Tengah",Boyolali,"Kec. Boyolali","Ds. Mudal",
"Jawa Tengah",Boyolali,"Kec. Boyolali","Ds. Penggung",
"Jawa Tengah",Boyolali,"Kec. Boyolali","Ds. Winong",
"Jawa Tengah",Boyolali,"Kec. Boyolali","Kec. Banaran",
"Jawa Tengah",Boyolali,"Kec. Boyolali","Kec. Pulisen",
"Jawa Tengah",Boyolali,"Kec. Boyolali","Kec. Siswodipuran",
"Jawa Tengah",Boyolali,"Kec. Cepogo","Ds. Bakulan",
"Jawa Tengah",Boyolali,"Kec. Cepogo","Ds. Cabeankunti",
"Jawa Tengah",Boyolali,"Kec. Cepogo","Ds. Candigatak",
"Jawa Tengah",Boyolali,"Kec. Cepogo","Ds. Cepogo",
"Jawa Tengah",Boyolali,"Kec. Cepogo","Ds. Gedangan",
"Jawa Tengah",Boyolali,"Kec. Cepogo","Ds. Genting",
"Jawa Tengah",Boyolali,"Kec. Cepogo","Ds. Gubug",
"Jawa Tengah",Boyolali,"Kec. Cepogo","Ds. Jelok",
"Jawa Tengah",Boyolali,"Kec. Cepogo","Ds. Jombong",
"Jawa Tengah",Boyolali,"Kec. Cepogo","Ds. Kembangkuning",
"Jawa Tengah",Boyolali,"Kec. Cepogo","Ds. Mliwis",
"Jawa Tengah",Boyolali,"Kec. Cepogo","Ds. Paras",
"Jawa Tengah",Boyolali,"Kec. Cepogo","Ds. Sukabumi",
"Jawa Tengah",Boyolali,"Kec. Cepogo","Ds. Sumbung",
"Jawa Tengah",Boyolali,"Kec. Cepogo","Ds. Wonodoyo",
"Jawa Tengah",Boyolali,"Kec. Gladagsari","Ds. Candisari",
"Jawa Tengah",Boyolali,"Kec. Gladagsari","Ds. Ds. Kembang",
"Jawa Tengah",Boyolali,"Kec. Gladagsari","Ds. Gladagsari",
"Jawa Tengah",Boyolali,"Kec. Gladagsari","Ds. Jlarem",
"Jawa Tengah",Boyolali,"Kec. Gladagsari","Ds. Kaligentong",
"Jawa Tengah",Boyolali,"Kec. Gladagsari","Ds. Ngagrong",
"Jawa Tengah",Boyolali,"Kec. Gladagsari","Ds. Ngargoloka",
"Jawa Tengah",Boyolali,"Kec. Gladagsari","Ds. Sampetan",
"Jawa Tengah",Boyolali,"Kec. Gladagsari","Ds. Sampetan",
"Jawa Tengah",Boyolali,"Kec. Gladagsari","Ds. Seboto",
"Jawa Tengah",Boyolali,"Kec. Juwangi","Ds. Cerme",
"Jawa Tengah",Boyolali,"Kec. Juwangi","Ds. Jerukan",
"Jawa Tengah",Boyolali,"Kec. Juwangi","Ds. Juwangi",
"Jawa Tengah",Boyolali,"Kec. Juwangi","Ds. Kalimati",
"Jawa Tengah",Boyolali,"Kec. Juwangi","Ds. Kayen",
"Jawa Tengah",Boyolali,"Kec. Juwangi","Ds. Krobokan",
"Jawa Tengah",Boyolali,"Kec. Juwangi","Ds. Ngaren",
"Jawa Tengah",Boyolali,"Kec. Juwangi","Ds. Ngleses",
"Jawa Tengah",Boyolali,"Kec. Juwangi","Ds. Pilangrejo",
"Jawa Tengah",Boyolali,"Kec. Juwangi","Kec. Sambeng",
"Jawa Tengah",Boyolali,"Kec. Karanggede","Ds. Bangkok",
"Jawa Tengah",Boyolali,"Kec. Karanggede","Ds. Bantengan",
"Jawa Tengah",Boyolali,"Kec. Karanggede","Ds. Dologan",
"Jawa Tengah",Boyolali,"Kec. Karanggede","Ds. Grogolan",
"Jawa Tengah",Boyolali,"Kec. Karanggede","Ds. Karangkepoh",
"Jawa Tengah",Boyolali,"Kec. Karanggede","Ds. Kebonan",
"Jawa Tengah",Boyolali,"Kec. Karanggede","Ds. Klari",
"Jawa Tengah",Boyolali,"Kec. Karanggede","Ds. Klumpit",
"Jawa Tengah",Boyolali,"Kec. Karanggede","Ds. Manyaran",
"Jawa Tengah",Boyolali,"Kec. Karanggede","Ds. Mojosari",
"Jawa Tengah",Boyolali,"Kec. Karanggede","Ds. Pengkol",
"Jawa Tengah",Boyolali,"Kec. Karanggede","Ds. Pinggir",
"Jawa Tengah",Boyolali,"Kec. Karanggede","Ds. Sempulur",
"Jawa Tengah",Boyolali,"Kec. Karanggede","Ds. Sendang",
"Jawa Tengah",Boyolali,"Kec. Karanggede","Ds. Sranten",
"Jawa Tengah",Boyolali,"Kec. Karanggede","Ds. Tegalsari",
"Jawa Tengah",Boyolali,"Kec. Kemusu","Ds. Bawu",
"Jawa Tengah",Boyolali,"Kec. Kemusu","Ds. Genengsari",
