id,parent_id,level_id,name,code,notes,_lft,_rgt,coverage_province,coverage_city,coverage_district
1,,1,"Kodam IV/Diponegoro",,,1,270,"Jawa Tengah",,
2,1,2,"Korem 074/Warastratama",074,,2,269,"Jawa Tengah",,
3,2,3,"Kodim 0723/Klaten",0723,,3,56,"Jawa Tengah",Klaten,
4,3,4,"Koramil Klaten Tengah",,,4,5,"Jawa Tengah",Klaten,
5,3,4,"Koramil Kalikotes",,,6,7,"Jawa Tengah",Klaten,
6,3,4,"Koramil Jogonalan",,,8,9,"Jawa Tengah",Klaten,
7,3,4,"Koramil Delanggu",,,10,11,"Jawa Tengah",Klaten,
8,3,4,"Koramil Pedan",,,12,13,"Jawa Tengah",Klaten,
9,3,4,"Koramil Jatinom",,,14,15,"Jawa Tengah",Klaten,
10,3,4,"Koramil Kebonarum",,,16,17,"Jawa Tengah",Klaten,
11,3,4,"Koramil Klaten Selatan",,,18,19,"Jawa Tengah",Klaten,
12,3,4,"Koramil Wedi",,,20,21,"Jawa Tengah",Klaten,
13,3,4,"Koramil Ngawen",,,22,23,"Jawa Tengah",Klaten,
14,3,4,"Koramil Prambanan",,,24,25,"Jawa Tengah",Klaten,
15,3,4,"Koramil Gantiwarno",,,26,27,"Jawa Tengah",Klaten,
16,3,4,"Koramil Karangnongko",,,28,29,"Jawa Tengah",Klaten,
17,3,4,"Koramil Manisrenggo",,,30,31,"Jawa Tengah",Klaten,
18,3,4,"Koramil Kemalang",,,32,33,"Jawa Tengah",Klaten,
19,3,4,"Koramil Karanganaom",,,34,35,"Jawa Tengah",Klaten,
20,3,4,"Koramil Polanharjo",,,36,37,"Jawa Tengah",Klaten,
21,3,4,"Koramil Tulung",,,38,39,"Jawa Tengah",Klaten,
22,3,4,"Koramil Karangdowo",,,40,41,"Jawa Tengah",Klaten,
23,3,4,"Koramil Bayat",,,42,43,"Jawa Tengah",Klaten,
24,3,4,"Koramil Trucuk",,,44,45,"Jawa Tengah",Klaten,
25,3,4,"Koramil Cawas",,,46,47,"Jawa Tengah",Klaten,
26,3,4,"Koramil Juwiring",,,48,49,"Jawa Tengah",Klaten,
27,3,4,"Koramil Wonosari",,,50,51,"Jawa Tengah",Klaten,
28,3,4,"Koramil Ceper",,,52,53,"Jawa Tengah",Klaten,
29,3,4,"Koramil Klaten Utara",,,54,55,"Jawa Tengah",Klaten,
30,2,3,"Kodim 0724/Boyolali",0724,,57,102,"Jawa Tengah",Boyolali,
31,30,4,"Koramil Boyolali",,,58,59,"Jawa Tengah",Boyolali,
32,30,4,"Koramil Musuk",,,60,61,"Jawa Tengah",Boyolali,
33,30,4,"Koramil Tamansari",,,62,63,"Jawa Tengah",Boyolali,
34,30,4,"Koramil Mojosongo",,,64,65,"Jawa Tengah",Boyolali,
35,30,4,"Koramil Teras",,,66,67,"Jawa Tengah",Boyolali,
36,30,4,"Koramil Ampel",,,68,69,"Jawa Tengah",Boyolali,
37,30,4,"Koramil Gladagsari",,,70,71,"Jawa Tengah",Boyolali,
38,30,4,"Koramil Cepogo",,,72,73,"Jawa Tengah",Boyolali,
39,30,4,"Koramil Selo",,,74,75,"Jawa Tengah",Boyolali,
40,30,4,"Koramil Banyudono",,,76,77,"Jawa Tengah",Boyolali,
41,30,4,"Koramil Sawit",,,78,79,"Jawa Tengah",Boyolali,
42,30,4,"Koramil Sambi",,,80,81,"Jawa Tengah",Boyolali,
43,30,4,"Koramil Ngemplak",,,82,83,"Jawa Tengah",Boyolali,
44,30,4,"Koramil Simo",,,84,85,"Jawa Tengah",Boyolali,
45,30,4,"Koramil Nogosari",,,86,87,"Jawa Tengah",Boyolali,
46,30,4,"Koramil Klego",,,88,89,"Jawa Tengah",Boyolali,
47,30,4,"Koramil Andong",,,90,91,"Jawa Tengah",Boyolali,
48,30,4,"Koramil Karanggede",,,92,93,"Jawa Tengah",Boyolali,
49,30,4,"Koramil Wonosegoro",,,94,95,"Jawa Tengah",Boyolali,
50,30,4,"Koramil Wonosamodro",,,96,97,"Jawa Tengah",Boyolali,
51,30,4,"Koramil Kemusu",,,98,99,"Jawa Tengah",Boyolali,
52,30,4,"Koramil Juwangi",,,100,101,"Jawa Tengah",Boyolali,
53,2,3,"Kodim 0725/Sragen",0725,,103,144,"Jawa Tengah",Sragen,
54,53,4,"Koramil Sragen",,,104,105,"Jawa Tengah",Sragen,
55,53,4,"Koramil Karangmalang",,,106,107,"Jawa Tengah",Sragen,
56,53,4,"Koramil Masaran",,,108,109,"Jawa Tengah",Sragen,
57,53,4,"Koramil Sidoharjo",,,110,111,"Jawa Tengah",Sragen,
58,53,4,"Koramil Kedawung",,,112,113,"Jawa Tengah",Sragen,
59,53,4,"Koramil Gondang",,,114,115,"Jawa Tengah",Sragen,
60,53,4,"Koramil Ngampal",,,116,117,"Jawa Tengah",Sragen,
61,53,4,"Koramil Sambirejo",,,118,119,"Jawa Tengah",Sragen,
62,53,4,"Koramil Sambungmacan",,,120,121,"Jawa Tengah",Sragen,
63,53,4,"Koramil Tangen",,,122,123,"Jawa Tengah",Sragen,
64,53,4,"Koramil Jenar",,,124,125,"Jawa Tengah",Sragen,
65,53,4,"Koramil Gesi",,,126,127,"Jawa Tengah",Sragen,
66,53,4,"Koramil Sukodono",,,128,129,"Jawa Tengah",Sragen,
67,53,4,"Koramil Mondokan",,,130,131,"Jawa Tengah",Sragen,
68,53,4,"Koramil Gemolong",,,132,133,"Jawa Tengah",Sragen,
69,53,4,"Koramil Miri",,,134,135,"Jawa Tengah",Sragen,
70,53,4,"Koramil Sumberlawang",,,136,137,"Jawa Tengah",Sragen,
71,53,4,"Koramil Kaliambe",,,138,139,"Jawa Tengah",Sragen,
72,53,4,"Koramil Tanon",,,140,141,"Jawa Tengah",Sragen,
73,53,4,"Koramil Plupuh",,,142,143,"Jawa Tengah",Sragen,
74,2,3,"Kodim 0726/Sukoharjo",0726,,145,170,"Jawa Tengah",Sukoharjo,
75,74,4,"Koramil Sukoharjo",,,146,147,"Jawa Tengah",Sukoharjo,
76,74,4,"Koramil Nguter",,,148,149,"Jawa Tengah",Sukoharjo,
77,74,4,"Koramil Bulu",,,150,151,"Jawa Tengah",Sukoharjo,
78,74,4,"Koramil Tawangsari",,,152,153,"Jawa Tengah",Sukoharjo,
79,74,4,"Koramil Weru",,,154,155,"Jawa Tengah",Sukoharjo,
80,74,4,"Koramil Kartasura",,,156,157,"Jawa Tengah",Sukoharjo,
81,74,4,"Koramil Gatak",,,158,159,"Jawa Tengah",Sukoharjo,
82,74,4,"Koramil Baki",,,160,161,"Jawa Tengah",Sukoharjo,
83,74,4,"Koramil Grogol",,,162,163,"Jawa Tengah",Sukoharjo,
84,74,4,"Koramil Mojolaban",,,164,165,"Jawa Tengah",Sukoharjo,
85,74,4,"Koramil Polokarto",,,166,167,"Jawa Tengah",Sukoharjo,
86,74,4,"Koramil Bendosari",,,168,169,"Jawa Tengah",Sukoharjo,
87,2,3,"Kodim 0727/Karangayar",0727,,171,206,"Jawa Tengah",Karangayar,
88,87,4,"Koramil Karanganyar",,,172,173,"Jawa Tengah",Karangayar,
89,87,4,"Koramil Tasikmadu",,,174,175,"Jawa Tengah",Karangayar,
90,87,4,"Koramil Kebakkramat",,,176,177,"Jawa Tengah",Karangayar,
91,87,4,"Koramil Jaten",,,178,179,"Jawa Tengah",Karangayar,
92,87,4,"Koramil Mojogedang",,,180,181,"Jawa Tengah",Karangayar,
93,87,4,"Koramil Karangpandan",,,182,183,"Jawa Tengah",Karangayar,
94,87,4,"Koramil Matesih",,,184,185,"Jawa Tengah",Karangayar,
95,87,4,"Koramil Tawangmangu",,,186,187,"Jawa Tengah",Karangayar,
96,87,4,"Koramil Ngargoyoso",,,188,189,"Jawa Tengah",Karangayar,
97,87,4,"Koramil Jenawi",,,190,191,"Jawa Tengah",Karangayar,
98,87,4,"Koramil Kerjo",,,192,193,"Jawa Tengah",Karangayar,
99,87,4,"Koramil Jumapolo",,,194,195,"Jawa Tengah",Karangayar,
100,87,4,"Koramil Jumantono",,,196,197,"Jawa Tengah",Karangayar,
101,87,4,"Koramil Jatipuro",,,198,199,"Jawa Tengah",Karangayar,
102,87,4,"Koramil Jatiyoso",,,200,201,"Jawa Tengah",Karangayar,
103,87,4,"Koramil Colomadu",,,202,203,"Jawa Tengah",Karangayar,
104,87,4,"Koramil Gondangrejo",,,204,205,"Jawa Tengah",Karangayar,
105,2,3,"Kodim 0728/Wonogiri",0728,,207,256,"Jawa Tengah",Wonogiri,
106,105,4,"Koramil Wonogiri",,,208,209,"Jawa Tengah",Wonogiri,
107,105,4,"Koramil Selogiri",,,210,211,"Jawa Tengah",Wonogiri,
108,105,4,"Koramil Ngadirojo",,,212,213,"Jawa Tengah",Wonogiri,
109,105,4,"Koramil Nguntoronadi",,,214,215,"Jawa Tengah",Wonogiri,
110,105,4,"Koramil Baturetno",,,216,217,"Jawa Tengah",Wonogiri,
111,105,4,"Koramil Batuwarno",,,218,219,"Jawa Tengah",Wonogiri,
112,105,4,"Koramil Tirtomoyo",,,220,221,"Jawa Tengah",Wonogiri,
113,105,4,"Koramil Giriwoyo",,,222,223,"Jawa Tengah",Wonogiri,
114,105,4,"Koramil Giritontro",,,224,225,"Jawa Tengah",Wonogiri,
